Exercise,Age,Gender,BMI
Low-Intensity Dance Class,26,Male,24.6667539
Low-Intensity Dance Class,44,Female,26.02754999
Light Calisthenics,53,Male,28.45891073
Light Calisthenics,60,Female,24.80543343
Low-Intensity Dance Class,49,Female,32.45967169
Golf (Walking),26,Male,23.74767541
Light Calisthenics,37,Female,18.63776193
Meditation and Deep Breathing,57,Male,20.13704153
Kayaking,34,Male,18.9255964
Pilates,52,Female,31.89347249
Low-Intensity Dance Class,36,Male,34.9957331
Pilates,45,Female,21.26684443
Kayaking,20,Female,23.97574471
Meditation and Deep Breathing,32,Female,33.45693767
Golf (Walking),50,Male,23.28183023
Golf (Walking),21,Male,30.305596
Kayaking,56,Male,25.56217045
Meditation and Deep Breathing,41,Female,33.66220852
Kayaking,34,Male,29.60302439
Kayaking,59,Male,28.46731435
Meditation and Deep Breathing,21,Female,22.52752152
Meditation and Deep Breathing,43,Female,32.94050558
Gardening,49,Male,28.26467044
Stretching Routine,43,Female,32.26424453
Meditation and Deep Breathing,54,Female,29.56891414
Pilates,21,Male,22.09681246
Gardening,58,Male,31.25068304
Pilates,19,Female,28.56160943
Stretching Routine,34,Female,27.47628878
Water Aerobics,60,Female,23.41069288
Kayaking,20,Female,23.88840633
Low-Intensity Dance Class,28,Female,34.02149817
Meditation and Deep Breathing,56,Male,23.79302913
Qi Gong,39,Male,30.39390712
Water Aerobics,42,Male,27.5708638
Gardening,22,Female,22.99735452
Kayaking,55,Male,28.46775077
Kayaking,59,Male,27.35297515
Gardening,46,Female,23.95051288
Low-Intensity Dance Class,36,Male,32.8079599
Gardening,54,Male,24.88914628
Water Aerobics,56,Female,20.41007613
Stretching Routine,44,Female,25.81872193
Water Aerobics,37,Male,27.53325034
Stretching Routine,54,Female,32.08336714
Pilates,30,Male,33.11518632
Pilates,29,Male,27.69314099
Qi Gong,50,Male,28.26394145
Meditation and Deep Breathing,54,Female,21.69882999
Gardening,37,Female,31.24716183
Light Calisthenics,43,Female,23.72247273
Kayaking,37,Male,21.50685245
Stretching Routine,46,Male,24.76881755
Gardening,43,Female,19.28582854
Gardening,42,Female,31.81334693
Pilates,56,Male,23.23960485
Stretching Routine,25,Female,32.36210287
Pilates,20,Male,27.3028577
Low-Intensity Dance Class,57,Female,24.5978231
Golf (Walking),32,Male,33.84127048
Pilates,43,Male,30.66146154
Qi Gong,51,Male,30.72338948
Pilates,34,Female,26.67337137
Qi Gong,23,Female,23.45554184
Water Aerobics,23,Female,30.01028956
Kayaking,23,Female,28.12996708
Golf (Walking),56,Female,27.96635347
Kayaking,21,Male,25.72309284
Golf (Walking),58,Male,27.82106428
Golf (Walking),18,Female,29.24147397
Gardening,51,Male,31.37961312
Qi Gong,45,Male,18.69076776
Low-Intensity Dance Class,38,Male,23.60857205
Gardening,26,Male,20.03461446
Light Calisthenics,53,Female,20.07067471
Kayaking,26,Female,22.86544402
Qi Gong,50,Male,29.66423868
Light Calisthenics,33,Male,26.57907281
Stretching Routine,45,Female,21.57900024
Light Calisthenics,53,Female,19.63223641
Low-Intensity Dance Class,22,Female,19.8546931
Low-Intensity Dance Class,56,Male,28.56924944
Meditation and Deep Breathing,20,Male,23.82732512
Golf (Walking),18,Female,28.66554373
Qi Gong,39,Male,23.41278353
Meditation and Deep Breathing,36,Female,24.78360664
Kayaking,31,Male,25.07170508
Stretching Routine,31,Male,23.03983643
Water Aerobics,48,Female,23.37627653
Light Calisthenics,41,Male,27.19801817
Stretching Routine,60,Female,30.08538859
Meditation and Deep Breathing,32,Female,24.35634271
Kayaking,53,Male,32.80446577
Kayaking,24,Male,27.604746
Pilates,28,Male,33.74063578
Golf (Walking),41,Male,31.30434764
Light Calisthenics,45,Male,29.50461936
Light Calisthenics,46,Male,31.67715278
Meditation and Deep Breathing,27,Male,29.39456559
Qi Gong,60,Male,20.97717994
Stretching Routine,47,Male,28.8590214
Golf (Walking),28,Female,24.67906223
Kayaking,24,Male,24.08121928
Meditation and Deep Breathing,39,Male,20.67500861
Meditation and Deep Breathing,23,Female,21.88807946
Golf (Walking),23,Male,32.01457003
Low-Intensity Dance Class,50,Male,32.30775308
Golf (Walking),24,Female,24.55559542
Golf (Walking),18,Male,24.54716699
Golf (Walking),47,Female,29.84020943
Kayaking,37,Female,24.72264154
Qi Gong,60,Female,29.98782345
Pilates,47,Male,19.98226881
Meditation and Deep Breathing,20,Female,25.30945571
Qi Gong,32,Male,20.2870286
Kayaking,57,Female,25.51307022
Water Aerobics,51,Male,32.39230564
Golf (Walking),42,Male,22.84430194
Water Aerobics,31,Male,19.6942162
Golf (Walking),19,Female,34.5236267
Water Aerobics,34,Female,29.09217471
Light Calisthenics,38,Female,33.29241066
Golf (Walking),59,Female,31.88781879
Golf (Walking),20,Female,19.19470182
Golf (Walking),38,Male,21.94038178
Low-Intensity Dance Class,29,Female,24.2766863
Stretching Routine,51,Female,27.57794997
Stretching Routine,26,Male,32.47662133
Pilates,23,Male,34.48649265
Pilates,25,Male,34.12409786
Gardening,24,Male,26.05305642
Golf (Walking),44,Male,21.73269185
Water Aerobics,47,Female,22.66333299
Meditation and Deep Breathing,40,Female,23.67226821
Meditation and Deep Breathing,32,Male,34.65662579
Light Calisthenics,53,Female,24.09517182
Stretching Routine,25,Male,25.96004497
Qi Gong,54,Female,24.3185592
Kayaking,47,Female,19.29812338
Kayaking,25,Female,29.63543861
Kayaking,41,Male,32.82067973
Golf (Walking),42,Female,32.74827401
Kayaking,18,Female,30.35701358
Kayaking,37,Female,29.27546675
Meditation and Deep Breathing,22,Male,32.39047151
Meditation and Deep Breathing,59,Female,29.76829049
Meditation and Deep Breathing,26,Male,33.66545526
Meditation and Deep Breathing,57,Male,32.96886577
Pilates,59,Male,30.83844444
Stretching Routine,39,Female,33.36018822
Kayaking,50,Female,31.99305347
Light Calisthenics,50,Male,33.65889847
Low-Intensity Dance Class,38,Male,34.89795432
Stretching Routine,20,Female,28.96913875
Low-Intensity Dance Class,42,Female,22.41373983
Meditation and Deep Breathing,21,Female,19.43511788
Kayaking,26,Male,23.53711603
Golf (Walking),59,Male,28.67462472
Pilates,31,Male,33.22947375
Water Aerobics,33,Male,30.95497762
Meditation and Deep Breathing,22,Female,29.39905426
Golf (Walking),56,Female,32.73105349
Gardening,21,Female,30.26908789
Meditation and Deep Breathing,43,Female,20.66410127
Kayaking,58,Female,34.64665707
Water Aerobics,54,Male,21.742272
Pilates,41,Male,29.76625029
Pilates,43,Female,33.61568704
Pilates,37,Male,32.10949788
Kayaking,26,Female,24.26604693
Qi Gong,26,Female,26.65782841
Water Aerobics,31,Male,22.45355922
Gardening,27,Male,31.47072205
Golf (Walking),45,Male,34.31918048
Stretching Routine,58,Female,20.71082185
Golf (Walking),55,Male,34.74141081
Golf (Walking),45,Female,18.99583703
Golf (Walking),25,Male,19.95537691
Pilates,26,Male,20.50023759
Gardening,36,Male,24.7725106
Kayaking,31,Female,27.62368258
Meditation and Deep Breathing,49,Female,27.09726352
Gardening,51,Male,28.14739605
Light Calisthenics,47,Female,20.80071334
Light Calisthenics,44,Female,23.79742624
Qi Gong,56,Male,19.76457494
Gardening,50,Female,34.85108739
Kayaking,24,Female,27.06241794
Gardening,23,Female,19.30402556
Water Aerobics,25,Male,32.59710908
Water Aerobics,30,Female,20.30553369
Golf (Walking),29,Female,30.57013221
Stretching Routine,21,Female,26.37759624
Qi Gong,19,Male,27.5353001
Gardening,55,Female,30.31221526
Water Aerobics,22,Male,34.43601991
Light Calisthenics,54,Female,21.24333868
Stretching Routine,25,Female,32.05226451
Water Aerobics,49,Male,22.38219937
Water Aerobics,45,Male,23.9905051
Gardening,38,Female,29.44398269
Light Calisthenics,18,Female,34.93172275
Golf (Walking),19,Male,25.90858756
Water Aerobics,35,Female,33.58393821
Golf (Walking),20,Female,27.64515999
Kayaking,41,Female,22.45928059
Low-Intensity Dance Class,30,Male,33.73622398
Low-Intensity Dance Class,49,Female,30.87189633
Meditation and Deep Breathing,45,Male,29.18005856
Kayaking,19,Female,33.79835393
Low-Intensity Dance Class,52,Male,18.58323081
Water Aerobics,38,Male,28.58478254
Kayaking,29,Female,31.72923827
Meditation and Deep Breathing,56,Female,27.98036156
Meditation and Deep Breathing,60,Female,30.411371
Kayaking,51,Female,28.05739751
Golf (Walking),50,Female,19.68122919
Kayaking,40,Male,18.59827026
Meditation and Deep Breathing,35,Female,21.20628429
Qi Gong,43,Male,24.83519754
Low-Intensity Dance Class,33,Male,27.83583585
Golf (Walking),30,Female,21.45454659
Gardening,39,Female,26.63580158
Gardening,20,Female,24.69836802
Light Calisthenics,57,Male,20.64988935
Low-Intensity Dance Class,41,Male,24.5977224
Meditation and Deep Breathing,37,Male,29.71978666
Gardening,38,Male,30.79140695
Meditation and Deep Breathing,25,Female,20.12690029
Stretching Routine,60,Male,34.3947091
Meditation and Deep Breathing,49,Female,23.18154187
Meditation and Deep Breathing,23,Female,32.14363965
Water Aerobics,50,Female,20.96203338
Kayaking,58,Female,22.77776728
Golf (Walking),36,Female,22.68946067
Gardening,20,Male,23.1225755
Qi Gong,33,Female,23.53843638
Stretching Routine,35,Female,24.48284398
Golf (Walking),41,Female,34.57062892
Stretching Routine,55,Female,22.42559679
Light Calisthenics,22,Male,22.97051259
Water Aerobics,28,Female,24.63779358
Stretching Routine,47,Male,29.56050723
Meditation and Deep Breathing,60,Female,22.40179652
Meditation and Deep Breathing,23,Male,25.65541953
Stretching Routine,36,Male,30.39956929
Low-Intensity Dance Class,40,Male,30.4200555
Gardening,52,Female,21.77577674
Stretching Routine,25,Male,33.37399047
Gardening,26,Female,32.4922019
Pilates,51,Male,32.63841998
Light Calisthenics,41,Male,27.69257863
Low-Intensity Dance Class,32,Female,28.115947
Pilates,40,Male,33.76983579
Gardening,34,Male,34.71171238
Meditation and Deep Breathing,32,Female,25.82868301
Pilates,59,Male,19.80712399
Meditation and Deep Breathing,20,Male,22.57239013
Low-Intensity Dance Class,45,Male,34.31428115
Gardening,41,Male,23.7143685
Kayaking,31,Male,27.8390385
Stretching Routine,40,Male,24.16779988
Low-Intensity Dance Class,57,Male,27.67610343
Light Calisthenics,23,Male,20.23842098
Gardening,28,Female,19.56935746
Golf (Walking),44,Female,19.5401969
Meditation and Deep Breathing,57,Male,28.19321645
Light Calisthenics,26,Female,25.77079621
Meditation and Deep Breathing,37,Female,26.30162922
Qi Gong,27,Male,34.30599687
Meditation and Deep Breathing,44,Male,28.66167483
Meditation and Deep Breathing,51,Male,19.32598372
Golf (Walking),49,Male,34.45125379
Low-Intensity Dance Class,21,Female,31.58886556
Water Aerobics,40,Female,21.03708471
Qi Gong,49,Male,26.39992612
Low-Intensity Dance Class,29,Female,23.78710932
Meditation and Deep Breathing,53,Female,21.28949463
Light Calisthenics,60,Female,34.30996905
Golf (Walking),28,Female,22.63647058
Low-Intensity Dance Class,56,Male,23.67845649
Qi Gong,57,Female,31.31653755
Qi Gong,44,Male,21.09910521
Meditation and Deep Breathing,33,Male,19.00928731
Pilates,40,Female,24.46928221
Stretching Routine,23,Male,18.7852412
Pilates,27,Male,33.65769365
Kayaking,19,Male,19.41439482
Low-Intensity Dance Class,20,Female,23.47554372
Pilates,32,Female,26.04213601
Meditation and Deep Breathing,30,Female,23.87004726
Low-Intensity Dance Class,20,Female,23.3818575
Golf (Walking),47,Male,26.92020313
Kayaking,55,Male,21.6846524
Kayaking,59,Male,29.88295429
Stretching Routine,30,Female,22.89967833
Water Aerobics,42,Male,28.65058105
Golf (Walking),39,Male,29.67661785
Light Calisthenics,19,Male,25.08037555
Kayaking,48,Male,28.11158287
Pilates,55,Male,28.95447506
Light Calisthenics,31,Male,33.97005129
Pilates,54,Male,25.93050725
Low-Intensity Dance Class,59,Female,27.55941217
Stretching Routine,46,Female,18.54235752
Light Calisthenics,23,Female,28.3181095
Gardening,25,Female,25.01781767
Light Calisthenics,53,Female,24.61892471
Kayaking,58,Female,25.28700568
Meditation and Deep Breathing,42,Male,33.35090395
Meditation and Deep Breathing,51,Male,21.75875513
Stretching Routine,53,Female,34.89074468
Pilates,57,Female,26.5002007
Light Calisthenics,53,Male,23.00361571
Water Aerobics,51,Female,31.80289254
Light Calisthenics,35,Male,26.04612129
Light Calisthenics,24,Female,25.90149242
Qi Gong,60,Female,20.6186756
Gardening,20,Male,33.743434
Low-Intensity Dance Class,55,Female,18.54648749
Pilates,55,Male,27.60750147
Pilates,26,Female,30.99099387
Gardening,19,Male,34.15427585
Light Calisthenics,37,Female,19.23943027
Qi Gong,57,Female,30.54193078
Golf (Walking),21,Male,21.5543102
Low-Intensity Dance Class,26,Male,23.87784256
Stretching Routine,43,Male,33.17303726
Qi Gong,40,Male,19.18537977
Qi Gong,37,Male,24.62655766
Water Aerobics,28,Male,22.5042808
Golf (Walking),47,Male,24.73532339
Golf (Walking),24,Male,23.94100361
Qi Gong,55,Female,32.52169398
Meditation and Deep Breathing,53,Male,31.55112324
Light Calisthenics,60,Female,24.06832996
Pilates,28,Female,21.14083948
Golf (Walking),55,Female,24.8773992
Water Aerobics,57,Female,22.51583786
Stretching Routine,37,Female,28.7671024
Kayaking,60,Female,33.61195702
Light Calisthenics,24,Female,26.76375255
Qi Gong,34,Male,34.41298453
Light Calisthenics,21,Female,28.93701971
Kayaking,23,Male,31.24828577
Water Aerobics,35,Female,29.88885344
Low-Intensity Dance Class,59,Female,32.42006394
Kayaking,28,Male,33.5171721
Meditation and Deep Breathing,25,Female,31.78845826
Low-Intensity Dance Class,52,Male,19.91961247
Gardening,30,Female,29.9220998
Water Aerobics,20,Male,22.53797019
Qi Gong,20,Female,28.4991202
Light Calisthenics,44,Female,29.36762564
Qi Gong,18,Male,32.53930968
Qi Gong,46,Female,32.38893212
Light Calisthenics,55,Male,33.25713309
Light Calisthenics,43,Male,21.29622537
Pilates,32,Male,24.03883859
Low-Intensity Dance Class,33,Female,30.13035339
Qi Gong,26,Female,22.59260236
Water Aerobics,31,Female,33.80469635
Pilates,38,Female,28.33178513
Gardening,18,Male,31.56152948
Low-Intensity Dance Class,59,Female,27.18613038
Kayaking,34,Female,26.4347387
Low-Intensity Dance Class,27,Male,24.29551636
Qi Gong,36,Female,27.58316293
Low-Intensity Dance Class,47,Female,22.90966056
Meditation and Deep Breathing,31,Male,30.61297973
Gardening,51,Female,22.74287098
Kayaking,34,Female,19.26642562
Meditation and Deep Breathing,48,Female,28.33976282
Pilates,19,Male,32.87722817
Low-Intensity Dance Class,38,Male,19.80868712
Light Calisthenics,57,Male,29.19337847
Meditation and Deep Breathing,50,Female,23.17422293
Meditation and Deep Breathing,38,Male,34.72511272
Stretching Routine,31,Female,21.16662178
Gardening,20,Female,28.81284933
Pilates,52,Female,34.11555586
Low-Intensity Dance Class,58,Male,30.55065637
Golf (Walking),35,Female,34.03248033
Kayaking,50,Male,22.89791528
Water Aerobics,20,Male,30.13101219
Gardening,31,Female,21.38628962
Kayaking,30,Female,24.21562427
Qi Gong,44,Male,23.27620794
Stretching Routine,53,Male,24.7116454
Water Aerobics,55,Male,27.99617866
Pilates,56,Male,19.68555914
Golf (Walking),58,Male,33.50701979
Gardening,42,Female,27.64536531
Pilates,49,Female,22.30788825
Qi Gong,29,Female,31.05204262
Kayaking,34,Female,26.7474153
Gardening,57,Male,31.76067493
Meditation and Deep Breathing,53,Female,19.63631604
Gardening,22,Female,26.50087674
Gardening,39,Female,28.66183235
Water Aerobics,40,Female,25.12305399
Water Aerobics,42,Male,31.86364728
Kayaking,53,Male,31.8698435
Light Calisthenics,35,Male,29.27724378
Light Calisthenics,18,Male,34.68293348
Golf (Walking),48,Female,21.26484653
Light Calisthenics,47,Female,27.47918063
Golf (Walking),41,Female,29.69440845
Low-Intensity Dance Class,23,Female,31.66960077
Qi Gong,31,Male,24.10626989
Water Aerobics,58,Male,29.43241455
Low-Intensity Dance Class,46,Male,24.42889051
Stretching Routine,27,Female,26.27487407
Pilates,19,Female,24.60811482
Gardening,40,Female,21.96022715
Kayaking,35,Female,29.39314541
Gardening,44,Female,23.66739728
Water Aerobics,37,Female,33.63787443
Meditation and Deep Breathing,45,Male,32.47180251
Water Aerobics,51,Female,34.14425415
Golf (Walking),18,Female,34.40778993
Kayaking,55,Female,19.28032525
Stretching Routine,21,Female,29.28626793
Low-Intensity Dance Class,38,Male,24.7726135
Light Calisthenics,29,Female,32.68596386
Water Aerobics,42,Male,24.77794054
Golf (Walking),35,Male,27.98137138
Stretching Routine,38,Female,22.64931249
Low-Intensity Dance Class,52,Male,20.89666064
Golf (Walking),26,Male,23.65698655
Pilates,48,Male,27.22736783
Qi Gong,26,Male,31.10936953
Water Aerobics,38,Male,34.26200213
Qi Gong,32,Female,34.60376331
Gardening,35,Male,24.56007134
Meditation and Deep Breathing,29,Female,21.2337362
Qi Gong,31,Female,24.69997271
Kayaking,54,Female,31.07201514
Pilates,51,Female,28.98253196
Meditation and Deep Breathing,49,Female,30.91538369
Stretching Routine,57,Female,20.74883764
Pilates,25,Male,32.80890589
Light Calisthenics,58,Female,31.22746989
Stretching Routine,35,Female,26.61068905
Pilates,47,Male,24.27620992
Qi Gong,26,Male,29.71545406
Water Aerobics,45,Male,28.83702822
Water Aerobics,30,Female,25.36633923
Kayaking,35,Female,19.89732796
Meditation and Deep Breathing,21,Male,30.90878227
Gardening,23,Female,22.15126223
Gardening,43,Male,26.14061947
Kayaking,29,Female,27.95395925
Low-Intensity Dance Class,32,Male,28.58020861
Gardening,35,Male,22.7185496
Pilates,38,Male,24.66422416
Qi Gong,59,Female,26.70217215
Qi Gong,22,Male,30.14888835
Light Calisthenics,28,Male,27.07059766
Qi Gong,53,Female,20.21565605
Golf (Walking),19,Male,23.77451041
Meditation and Deep Breathing,41,Male,32.46145343
Gardening,56,Male,22.5236776
Gardening,34,Female,30.04807997
Gardening,59,Female,33.70082051
Meditation and Deep Breathing,42,Female,30.81184146
Water Aerobics,33,Male,22.61444995
Meditation and Deep Breathing,18,Female,31.31838912
Light Calisthenics,38,Male,31.2420672
Light Calisthenics,19,Female,33.47645065
Light Calisthenics,51,Female,31.84215866
Kayaking,25,Male,30.14084142
Pilates,55,Female,19.05994335
Meditation and Deep Breathing,18,Female,24.18601147
Light Calisthenics,40,Female,25.61622153
Water Aerobics,34,Female,27.70881427
Light Calisthenics,58,Male,19.51633541
Meditation and Deep Breathing,42,Male,32.3384424
Kayaking,38,Female,21.53604656
Qi Gong,57,Female,28.63876411
Stretching Routine,29,Female,34.20345767
Stretching Routine,50,Female,33.56691636
Water Aerobics,43,Male,33.32525834
Qi Gong,36,Male,24.32372308
Golf (Walking),59,Female,30.49139951
Qi Gong,21,Male,20.91598906
Light Calisthenics,29,Female,31.35208311
Kayaking,38,Female,30.73098294
Meditation and Deep Breathing,39,Male,23.4026294
Stretching Routine,45,Male,22.44829906
Kayaking,49,Female,25.64562303
Low-Intensity Dance Class,45,Female,34.11349217
Kayaking,31,Female,22.60932692
Pilates,48,Female,30.39500616
Water Aerobics,48,Female,34.62519689
Water Aerobics,58,Female,23.4838057
Pilates,38,Female,29.99104448
Kayaking,55,Male,26.70361877
Pilates,28,Female,28.96131065
Stretching Routine,28,Male,25.01400645
Stretching Routine,57,Male,18.67335456
Light Calisthenics,23,Male,31.82561441
Low-Intensity Dance Class,50,Male,23.12931737
Kayaking,52,Male,28.66009316
Pilates,56,Male,18.97818891
Light Calisthenics,47,Male,24.70915434
Gardening,34,Female,23.47668933
Meditation and Deep Breathing,33,Male,21.58779074
Stretching Routine,19,Male,33.46536016
Gardening,21,Female,33.05028276
Low-Intensity Dance Class,26,Male,31.8879553
Meditation and Deep Breathing,57,Female,21.31459159
Stretching Routine,28,Male,30.35581754
Meditation and Deep Breathing,37,Female,29.05552582
Gardening,52,Female,19.5664943
Qi Gong,55,Male,31.13591982
Stretching Routine,58,Female,32.55362597
Low-Intensity Dance Class,59,Female,19.61971863
Light Calisthenics,59,Male,20.62935058
Kayaking,39,Female,20.30104041
Meditation and Deep Breathing,59,Female,32.67097898
Low-Intensity Dance Class,41,Male,31.42622872
Pilates,53,Male,22.13170062
Low-Intensity Dance Class,48,Male,23.03104209
Meditation and Deep Breathing,40,Male,26.49810038
Water Aerobics,34,Female,28.86117353
Golf (Walking),38,Female,33.23599092
Light Calisthenics,39,Male,26.70784503
Stretching Routine,23,Male,33.69907694
Stretching Routine,54,Male,25.59945164
Low-Intensity Dance Class,35,Male,28.59726704
Meditation and Deep Breathing,29,Female,20.06731412
Light Calisthenics,45,Female,28.14644281
Golf (Walking),44,Male,31.34459331
Pilates,22,Female,33.3685788
Gardening,45,Female,29.88993806
Low-Intensity Dance Class,33,Female,28.58178162
Water Aerobics,26,Male,21.96170483
Kayaking,18,Female,29.31403021
Stretching Routine,44,Male,22.38866543
Meditation and Deep Breathing,20,Male,25.42946677
Low-Intensity Dance Class,47,Female,33.7631261
Low-Intensity Dance Class,58,Male,32.51245764
Qi Gong,39,Female,33.12608185
Golf (Walking),48,Male,28.97915336
Kayaking,45,Female,24.86170862
Gardening,24,Female,30.49611579
Light Calisthenics,40,Female,28.43588968
Qi Gong,50,Male,23.52154071
Light Calisthenics,45,Female,19.09023267
Stretching Routine,45,Female,26.90819343
Golf (Walking),54,Male,33.39229542
Stretching Routine,30,Female,33.35670116
Qi Gong,59,Female,34.42803368
Stretching Routine,56,Male,20.86673206
Qi Gong,38,Male,34.94897799
Qi Gong,18,Male,19.94267693
Meditation and Deep Breathing,41,Female,22.35631591
Qi Gong,49,Male,24.35687135
Water Aerobics,41,Female,23.61076172
Meditation and Deep Breathing,58,Male,31.4554184
Golf (Walking),43,Male,34.36650996
Stretching Routine,54,Male,34.51249722
Water Aerobics,54,Female,20.25389429
Meditation and Deep Breathing,60,Male,28.78864438
Qi Gong,30,Male,31.9450006
Low-Intensity Dance Class,59,Male,25.30110663
Low-Intensity Dance Class,41,Female,24.49329931
Kayaking,29,Male,29.92908021
Gardening,28,Female,21.35596091
Low-Intensity Dance Class,18,Male,23.75118802
Qi Gong,36,Female,21.22145692
Pilates,19,Male,24.98497098
Gardening,55,Female,26.58687248
Meditation and Deep Breathing,24,Male,26.17770816
Stretching Routine,60,Female,26.04766444
Kayaking,40,Male,31.91886536
Gardening,26,Male,23.97179185
Kayaking,56,Female,20.29779585
Qi Gong,34,Female,26.70372809
Golf (Walking),49,Male,18.8088378
Gardening,44,Male,27.68311931
Kayaking,19,Male,21.18429504
Pilates,22,Female,22.12621788
Pilates,57,Female,22.7170379
Gardening,43,Female,19.5984024
Stretching Routine,39,Male,20.68358754
Golf (Walking),45,Male,25.3750906
Pilates,31,Male,18.87564395
Low-Intensity Dance Class,21,Female,25.66938588
Gardening,36,Male,34.15228725
Stretching Routine,27,Male,32.70560382
Pilates,56,Female,20.7489393
Pilates,45,Female,28.2562298
Kayaking,30,Female,30.22946019
Qi Gong,42,Male,30.91565168
Meditation and Deep Breathing,35,Female,27.36300774
Low-Intensity Dance Class,40,Male,18.87992643
Low-Intensity Dance Class,52,Male,25.06323956
Pilates,57,Female,25.94275019
Pilates,40,Female,31.41064806
Gardening,25,Male,27.36781339
Water Aerobics,42,Female,27.6055262
Pilates,36,Female,26.2701492
Water Aerobics,26,Male,26.4892558
Meditation and Deep Breathing,52,Female,31.86812103
Water Aerobics,52,Female,22.26054273
Light Calisthenics,19,Female,32.60462078
Stretching Routine,49,Female,21.17965229
Qi Gong,37,Male,27.21626792
Gardening,41,Female,32.45414788
Pilates,19,Female,28.59827993
Meditation and Deep Breathing,24,Female,19.84536829
Gardening,25,Male,31.97932413
Light Calisthenics,59,Male,34.11156454
Light Calisthenics,55,Female,32.66603028
Meditation and Deep Breathing,29,Male,27.90304011
Golf (Walking),45,Male,26.51384199
Pilates,24,Male,24.09836273
Kayaking,43,Male,24.68742089
Stretching Routine,41,Male,20.30588947
Low-Intensity Dance Class,46,Male,32.97956729
Low-Intensity Dance Class,32,Female,25.88117661
Golf (Walking),35,Female,31.2740023
Low-Intensity Dance Class,24,Male,29.3195256
Gardening,33,Male,20.73221098
Pilates,55,Male,18.99567493
Qi Gong,45,Male,24.75670521
Low-Intensity Dance Class,56,Male,28.87377521
Qi Gong,41,Male,25.95699339
Qi Gong,19,Male,29.71744568
Gardening,44,Female,24.51638748
Golf (Walking),60,Male,31.31291179
Meditation and Deep Breathing,57,Male,21.80546976
Qi Gong,43,Male,29.23794953
Meditation and Deep Breathing,18,Male,21.44162177
Stretching Routine,59,Male,18.65897245
Light Calisthenics,32,Female,27.16242988
Stretching Routine,38,Female,29.5912752
Qi Gong,45,Female,25.94770608
Kayaking,54,Female,20.02741036
Low-Intensity Dance Class,32,Female,30.58861346
Low-Intensity Dance Class,33,Male,32.84376346
Stretching Routine,25,Female,22.55269901
Golf (Walking),26,Female,32.9772517
Qi Gong,35,Male,21.77391564
Pilates,26,Female,31.42872463
Light Calisthenics,42,Female,26.09946047
Golf (Walking),60,Male,23.77501825
Low-Intensity Dance Class,53,Male,19.83401327
Water Aerobics,59,Female,34.40130529
Water Aerobics,54,Male,22.11996279
Meditation and Deep Breathing,25,Male,19.74386862
Golf (Walking),42,Female,19.34886846
Pilates,43,Male,27.67472322
Low-Intensity Dance Class,44,Male,26.20405336
Golf (Walking),53,Male,34.83555827
Qi Gong,57,Female,33.43747075
Stretching Routine,45,Male,28.5998299
Meditation and Deep Breathing,18,Male,20.15853899
Gardening,25,Female,26.06607443
Qi Gong,38,Male,31.89549754
Low-Intensity Dance Class,30,Male,22.06629173
Pilates,54,Female,28.15689796
Stretching Routine,23,Female,30.94588459
Pilates,31,Female,21.62292795
Qi Gong,42,Female,32.01980558
Gardening,45,Male,19.16082703
Gardening,36,Female,19.00142064
Qi Gong,38,Male,22.0934186
Qi Gong,41,Male,29.80438159
Low-Intensity Dance Class,49,Female,19.51182868
Meditation and Deep Breathing,46,Male,22.27905693
Stretching Routine,22,Male,22.90057216
Kayaking,30,Female,34.4829966
Meditation and Deep Breathing,23,Male,20.52982249
Golf (Walking),44,Male,26.05652946
Water Aerobics,25,Male,18.76301049
Golf (Walking),47,Male,21.63170596
Pilates,18,Male,21.92902953
Water Aerobics,29,Male,27.88327377
Low-Intensity Dance Class,50,Female,33.77364025
Kayaking,59,Female,32.75711542
Meditation and Deep Breathing,28,Male,19.88800835
Stretching Routine,60,Female,21.91487744
Gardening,35,Female,34.02540519
Gardening,32,Male,29.6561649
Meditation and Deep Breathing,24,Male,28.64158303
Golf (Walking),46,Female,18.74261399
Golf (Walking),40,Female,25.69899598
Qi Gong,36,Male,24.23772681
Stretching Routine,53,Male,32.01532132
Gardening,51,Female,23.58343675
Meditation and Deep Breathing,31,Female,18.61465048
Pilates,40,Male,25.2409227
Qi Gong,45,Female,34.29864782
Kayaking,22,Male,19.06591063
Stretching Routine,31,Male,20.26249349
Pilates,34,Female,22.95983944
Pilates,48,Male,29.90588105
Low-Intensity Dance Class,40,Male,20.07972596
Light Calisthenics,40,Male,30.90334297
Low-Intensity Dance Class,47,Male,31.13858078
Meditation and Deep Breathing,57,Male,18.83588396
Gardening,56,Female,34.02685141
Pilates,33,Female,21.29461319
Stretching Routine,34,Female,24.72864049
Water Aerobics,28,Male,26.40479537
Gardening,59,Female,26.46121576
Light Calisthenics,30,Male,22.7256566
Stretching Routine,44,Female,20.9525542
Stretching Routine,41,Female,21.75251494
Meditation and Deep Breathing,25,Female,27.5319572
Meditation and Deep Breathing,36,Female,21.518692
Meditation and Deep Breathing,32,Female,23.36273453
Water Aerobics,37,Female,31.45598271
Light Calisthenics,33,Female,19.81427143
Kayaking,37,Female,18.56815697
Meditation and Deep Breathing,27,Female,21.87082661
Kayaking,40,Female,28.81454123
Gardening,31,Male,21.58897495
Stretching Routine,54,Male,21.49922953
Golf (Walking),49,Male,20.73485453
Qi Gong,55,Female,29.66990745
